Vx,Vy,Yaw,YawRate,latitude,longitude,el,x_gps_cg,y_gps_cg,y,dy,mu,nu,dPsi,r,h,r_d,kappa,uUser,uOpt,blendingRatio,uOut,M
2.519006365,-0.008794988,-1.561565611,0.00848,42.30183979,-83.69753456,275.5585938,0.99,0,0.666448077,0.012567672,2.519006365,-0.008794988,0.004989129,0.00848,8,0.01026247,0.00407399,0,-0.195733854,1,-0.195733854,1.583042435
2.52676172,-0.011281951,-1.561422608,0.00261,42.30183844,-83.69753449,275.5537109,0.99,0,0.672164711,0.006414887,2.521756027,-0.013211177,0.002543785,0.00302,8,0.015040438,0.00596419,0,-0.177006536,1,-0.177006536,1.532414473
2.528720072,-0.012447728,-1.561395607,-0.00236,42.30183754,-83.69753445,275.5503845,0.99,0,0.675541934,0.006006211,2.528720072,-0.012447728,0.002375171,-0.00236,8,0.013829992,0.005469101,0,-0.174607762,1,-0.174607762,1.529259282
2.531594965,-0.009273915,-1.561299606,-0.00071,42.30183617,-83.69753438,275.5454102,0.99,0,0.680711029,0.00758056,2.531594965,-0.009273915,0.002994365,-0.00071,8,0.011294856,0.004461527,0,-0.180692668,1,-0.180692668,1.556056736
2.538050253,-0.002753637,-1.561158605,0.00499,42.30183524,-83.69753434,275.5422974,0.99,0,0.683443765,0.013425346,2.538050253,-0.002753637,0.005289651,0.00499,8,0.009538677,0.003758267,0,-0.200867662,1,-0.200867662,1.623672424
2.541633427,-0.007831299,-1.560996604,0.00073,42.30183385,-83.69753429,275.5375061,0.99,0,0.687209952,0.007536294,2.541633427,-0.007831299,0.002965128,0.00073,8,0.006919164,0.002722317,0,-0.181702567,1,-0.181702567,1.568595813
2.544986426,-0.003500003,-1.560738603,0.00692,42.30183293,-83.69753427,275.5344238,0.99,0,0.689715394,0.012096458,2.544986426,-0.003500003,0.004753068,0.00692,8,0.004008917,0.00157522,0,-0.197933344,1,-0.197933344,1.624174744
2.549813171,-0.014595178,-1.560561602,-0.00201,42.301832,-83.69753424,275.5315247,0.99,0,0.693095284,0.00107664,2.549813171,-0.014595178,0.000422236,-0.00201,8,0.001547352,0.000606839,0,-0.160803702,1,-0.160803702,1.512141205
2.558018918,-0.009007409,-1.5602666,0.00434,42.3018306,-83.69753419,275.5271912,0.99,0,0.695931649,0.007411047,2.558018918,-0.009007409,0.002897168,0.00434,8,-0.000106525,-4.16E-05,0,-0.182580246,1,-0.182580246,1.58493758
2.561810284,-0.008796581,-1.560191599,0.00501,42.30182966,-83.69753415,275.524231,0.99,0,0.699583597,0.008075635,2.561810284,-0.008796581,0.003152302,0.00501,8,-0.002611034,-0.001019208,0,-0.184853571,1,-0.184853571,1.597888388
2.564528072,-0.012818034,-1.560121598,0.00074,42.30182828,-83.69753409,275.519104,0.99,0,0.702613219,0.004556504,2.564528072,-0.012818034,0.00177672,0.00074,8,-0.002677496,-0.001044037,0,-0.173002443,1,-0.173002443,1.56423839
2.567824615,-0.01485207,-1.560085597,-0.00108,42.30182689,-83.69753402,275.5142822,0.99,0,0.707354348,0.002897313,2.567824615,-0.01485207,0.001128296,-0.00108,8,-0.0009298,-0.00036209,0,-0.169126955,1,-0.169126955,1.559002425
2.571141327,-0.012651901,-1.559973596,0.00107,42.30182596,-83.69753398,275.5114441,0.99,0,0.71087699,0.005431906,2.571141327,-0.012651901,0.00211262,0.00107,8,0.000245829,9.56E-05,0,-0.17916342,1,-0.17916342,1.59545104
2.578784337,-0.012742938,-1.559567593,0.00105,42.30182458,-83.69753392,275.5072021,0.99,0,0.715492983,0.00707975,2.575026724,-0.011303013,0.002749366,0.00327,8,0.002010155,0.000780627,0,-0.187210002,1,-0.187210002,1.627211616
2.581183297,-0.004946969,-1.559403592,0.00703,42.30182365,-83.69753388,275.504303,0.99,0,0.718612175,0.005077273,2.580082304,-0.013745533,0.001967846,0.00025,8,0.004508801,0.001747517,0,-0.181216882,1,-0.181216882,1.613298013
2.583731709,-0.01211205,-1.559315591,-0.00108,42.30182225,-83.69753383,275.5004883,0.99,0,0.722683882,0.006382678,2.583731709,-0.01211205,0.002470309,-0.00108,8,0.006279548,0.002430391,0,-0.187210002,1,-0.187210002,1.636930467
2.586761937,-0.007030504,-1.55917259,0.00375,42.30182131,-83.69753378,275.4981384,0.99,0,0.725478845,0.011111913,2.586761937,-0.007030504,0.004295682,0.00375,8,0.007501378,0.0028999,0,-0.204409322,1,-0.204409322,1.695967776
2.590231832,-0.008819423,-1.559100589,0.00289,42.30181989,-83.69753372,275.4949341,0.99,0,0.729765016,0.008190754,2.590231832,-0.008819423,0.003162157,0.00289,8,0.009316194,0.003596643,0,-0.197832354,1,-0.197832354,1.68090534
2.595255606,-0.016160103,-1.558966588,-1.00E-05,42.30181894,-83.69753369,275.4929504,0.99,0,0.732755658,0.000187143,2.595255606,-0.016160103,7.21E-05,-1.00E-05,8,0.010152536,0.003911884,0,-0.174562067,1,-0.174562067,1.612131155
2.598845236,-0.015201084,-1.558809587,0.00163,42.301818,-83.69753365,275.4902039,0.99,0,0.736780081,0.000253104,2.598845236,-0.015201084,9.74E-05,0.00163,8,0.007014366,0.002698986,0,-0.176615528,1,-0.176615528,1.624656178
2.609432611,-0.014482574,-1.558533584,-0.0011,42.30181659,-83.69753358,275.4855652,0.99,0,0.74018768,0.001149164,2.609432611,-0.014482574,0.000440382,-0.0011,8,0.004939146,0.001892775,0,-0.177951541,1,-0.177951541,1.633939972
2.612594125,-0.009324724,-1.558417583,0.00304,42.30181515,-83.69753352,275.4814148,0.99,0,0.744295283,0.006129403,2.612594125,-0.009324724,0.002346086,0.00304,8,0.001745708,0.000668185,0,-0.194056277,1,-0.194056277,1.690509891
2.617278501,-0.011786421,-1.558364582,0.00343,42.30181419,-83.69753348,275.4786377,0.99,0,0.746481548,0.003784841,2.617278501,-0.011786421,0.001446084,0.00343,8,-0.000433079,-0.000165468,0,-0.187030465,1,-0.187030465,1.671748281
2.621550089,-0.015294648,-1.558229581,0.00094,42.30181274,-83.69753343,275.474884,0.99,0,0.750202273,0.001141278,2.621550089,-0.015294648,0.000435337,0.00094,8,-0.004752232,-0.001812725,0,-0.177440279,1,-0.177440279,1.647178922
2.62435348,-0.009001593,-1.55806358,0.00766,42.30181178,-83.69753338,275.4721375,0.99,0,0.753674308,0.00853127,2.62435348,-0.009001593,0.003250795,0.00766,8,-0.00698145,-0.002660239,0,-0.201700829,1,-0.201700829,1.728795775
2.635261323,-0.011587939,-1.557767578,0.00127,42.30181034,-83.6975333,275.467804,0.99,0,0.759153247,0.00821632,2.635261323,-0.011587939,0.003117814,0.00127,8,-0.010370908,-0.0039354,0,-0.197933344,1,-0.197933344,1.724336306
2.641367537,-0.012419109,-1.557682576,0.00063,42.30180938,-83.69753324,275.4647217,0.99,0,0.763239744,0.0093969,2.635787257,-0.011738741,0.003565093,0.00062,8,-0.012613279,-0.004785346,0,-0.201114526,1,-0.201114526,1.740257268
2.645630638,-0.01060091,-1.557595575,0.0036,42.30180793,-83.69753316,275.4602051,0.99,0,0.769714762,0.010822449,2.641367537,-0.012419109,0.004097256,0.00063,8,-0.010546397,-0.003992735,0,-0.205217242,1,-0.205217242,1.763273919
2.650584064,-0.011247374,-1.557521574,0.00428,42.30180696,-83.69753311,275.4571228,0.99,0,0.772987732,0.013498896,2.650584064,-0.011247374,0.005092777,0.00428,8,-0.008218989,-0.003100794,0,-0.216038154,1,-0.216038154,1.801551995
2.661452152,-0.021423683,-1.557346571,-0.00463,42.3018055,-83.69753305,275.453064,0.99,0,0.778294139,0.014555465,2.658819036,-0.0115808,0.005474385,0.00361,8,-0.00470993,-0.00177142,0,-0.221150769,1,-0.221150769,1.824823164
2.664038013,-0.011273033,-1.557223571,0.00405,42.30180452,-83.69753298,275.4506531,0.99,0,0.782778951,0.015764564,2.664038013,-0.011273033,0.005917526,0.00405,8,-0.002367204,-0.00088857,0,-0.226358062,1,-0.226358062,1.848176836
2.676052787,-0.013258025,-1.556926568,0.00269,42.30180305,-83.6975329,275.4463806,0.99,0,0.78970323,0.0189037,2.669765834,-0.008581979,0.007080681,0.00668,8,0.002117368,0.000793087,0,-0.239754305,1,-0.239754305,1.899435066
2.680305774,-0.007605039,-1.556801567,0.00762,42.30180207,-83.69753284,275.4433289,0.99,0,0.793921125,0.014248846,2.676052787,-0.013258025,0.005324535,0.00269,8,0.004488504,0.001677265,0,-0.226358062,1,-0.226358062,1.863392382
2.685044288,-0.013394755,-1.556646566,0.0014,42.30180109,-83.69753279,275.4402161,0.99,0,0.800293788,0.019208832,2.680305774,-0.007605039,0.00716669,0.00762,8,0.008079754,0.003014477,0,-0.245060659,1,-0.245060659,1.931959821
2.69134818,-0.006220663,-1.556431564,0.00922,42.30179961,-83.6975327,275.4360657,0.99,0,0.804899508,0.02063591,2.69134818,-0.006220663,0.007667554,0.00922,8,0.010546727,0.003918742,0,-0.251369241,1,-0.251369241,1.958683636
2.697068887,-0.010752605,-1.556373562,0.00446,42.30179861,-83.69753264,275.4336548,0.99,0,0.811437421,0.014482668,2.697068887,-0.010752605,0.005369764,0.00446,8,0.010001787,0.003708362,0,-0.233798704,1,-0.233798704,1.912244707
2.701671654,-0.014980677,-1.556271561,0.00048,42.30179714,-83.69753256,275.4287109,0.99,0,0.815631381,0.009630444,2.701671654,-0.014980677,0.003564577,0.00048,8,0.007702706,0.002851045,0,-0.219048215,1,-0.219048215,1.871762682
2.706084471,-0.016915104,-1.55620856,-0.0015,42.30179616,-83.6975325,275.4254761,0.99,0,0.821857339,0.006961926,2.706084471,-0.016915104,0.002572646,-0.0015,8,0.0042227,0.001560416,0,-0.211544103,1,-0.211544103,1.857482759
2.715123452,-0.012766686,-1.555918557,0.00492,42.30179467,-83.69753241,275.4213562,0.99,0,0.826339602,0.013144337,2.71256078,-0.010951343,0.004845709,0.00561,8,0.001888483,0.000696194,0,-0.232654152,1,-0.232654152,1.930612224
2.718906064,-0.009651885,-1.555702556,0.00904,42.30179316,-83.69753232,275.4193726,0.99,0,0.832938894,0.011877749,2.715123452,-0.012766686,0.004374628,0.00492,8,-0.00229365,-0.000844759,0,-0.229438254,1,-0.229438254,1.930635167
2.724269317,-0.018134744,-1.555561554,0.00172,42.30179216,-83.69753226,275.4176025,0.99,0,0.837809868,0.0160234,2.718906064,-0.009651885,0.005893323,0.00904,8,-0.004513616,-0.001660075,0,-0.243771854,1,-0.243771854,1.982394214
2.727143297,-0.013956548,-1.555415553,0.00476,42.30179064,-83.69753217,275.4155884,0.99,0,0.844575163,0.013646574,2.727143297,-0.013956548,0.005003936,0.00476,8,-0.007807054,-0.002862685,0,-0.236207428,1,-0.236207428,1.968314008
2.732743839,-0.013259388,-1.555319551,0.00367,42.30178962,-83.69753211,275.4151306,0.99,0,0.84880505,0.015640263,2.732743839,-0.013259388,0.005723245,0.00367,8,-0.008937931,-0.003270642,0,-0.24198349,1,-0.24198349,1.992371107
2.738093297,-0.008016999,-1.55524255,0.00822,42.30178813,-83.697532,275.4118042,0.99,0,0.856029885,0.022508578,2.738093297,-0.008016999,0.008220587,0.00822,8,-0.007559301,-0.002760778,0,-0.26474725,1,-0.26474725,2.07440582
